A,B
8,21
6,18
9,21
8,20
7,20
9,21
9,22
7,20
7,19
7,19
7,21
7,21
8,21
10,22
7,22
10,22
8,21
8,21
10,22
7,22
7,19
8,22
7,19
9,23
7,20
7,20
9,22
7,20
10,22
10,23
10,22
10,22
9,21
8,21
8,22
8,21
7,18
8,21
7,21
8,20
10,22
10,22
7,19
7,21
7,20
8,21
11,22
8,20
10,22
10,22
8,21
7,20
10,22
8,23
10,22
7,22
8,22
8,21
7,20
7,18
7,20
7,19
7,20
10,23
6,19
10,22
10,22
9,21
7,21
7,20
7,21
7,21
7,19
8,20
9,22
8,21
7,20
7,21
8,21
8,21
8,21
9,22
7,19
7,20
10,22
7,19
8,21
7,21
6,19
7,20
9,22
8,21
9,22
8,20
11,22
9,21
10,21
10,22
9,22
8,20
9,22
8,21
7,19
8,20
10,22
7,20
9,22
8,22
9,22
7,19
8,21
7,20
7,20
6,19
9,21
8,22
8,21
7,20
9,21
8,21
8,20
10,23
10,22
8,21
7,20
8,20
8,20
7,18
10,22
9,21
7,19
10,22
10,22
9,22
8,21
8,21
10,22
10,22
11,23
8,22
8,20
7,19
8,21
8,20
9,21
11,22
8,19
8,21
8,21
7,19
8,21
9,22
7,22
10,21
9,22
8,21
7,19
10,21
10,22
8,22
7,20
9,22
11,22
7,19
8,20
8,21
8,20
9,22
10,22
8,22
8,21
7,18
8,21
8,21
10,22
10,23
9,22
9,21
8,19
8,21
8,20
8,22
9,22
8,20
8,22
9,22
7,20
8,22
7,19
10,22
7,20
7,21
9,22
8,20
10,22
9,21
9,21
9,22
8,21
8,20
8,20
7,20
8,20
10,22
7,20
9,21
10,22
10,22
6,19
9,21
7,20
10,22
10,22
9,22
8,20
9,21
7,19
8,20
7,20
9,21
10,22
11,22
7,20
8,22
8,22
7,21
8,20
8,21
7,19
9,22
9,22
9,21
8,20
9,21
9,22
8,21
7,20
9,22
8,22
8,20
7,19
7,19
8,22
9,22
9,21
9,22
7,21
7,18
8,19
10,22
10,21
8,21
7,19
8,20
10,22
8,21
7,19
9,21
9,22
7,19
9,21
8,21
10,22
7,19
7,19
7,19
8,22
8,21
7,20
7,20
9,22
7,21
8,21
7,21
8,22
8,21
7,20
7,20
10,22
8,20
7,21
7,21
9,22
8,20
10,22
7,19
7,20
7,19
8,21
8,21
10,22
7,21
9,21
8,21
10,22
7,20
8,20
7,19
9,21
7,19
9,21
8,22
7,19
9,21
10,21
8,21
8,21
8,21
9,21
7,20
9,22
10,22
9,21
7,22
7,19
7,19
7,19
7,20
7,21
9,21
7,19
10,22
9,22
7,21
7,19
7,21
8,21
8,21
8,21
9,21
7,19
8,21
10,22
8,21
10,23
7,21
8,20
7,21
10,22
8,21
9,22
10,23
10,22
7,20
10,22
9,22
9,22
10,23
8,20
8,22
10,22
7,19
10,22
7,19
7,20
9,22
8,22
8,22
9,21
8,21
8,22
9,22
9,22
8,21
9,22
7,19
7,20
8,21
7,21
10,21
9,22
8,20
9,23
7,21
9,21
8,21
7,21
10,22
7,19
9,22
10,22
8,20
8,21
9,22
9,21
8,20
8,22
8,21
7,20
7,20
7,21
9,22
7,21
10,22
8,22
7,19
8,20
9,21
6,20
8,20
10,22
7,22
7,19
9,22
8,20
8,21
7,20
9,22
10,23
7,22
9,22
8,22
8,21
9,21
11,23
9,21
9,21
10,22
7,21
7,20
9,21
8,21
9,22
7,19
9,22
10,22
7,22
7,19
8,19
7,19
8,20
7,20
7,20
10,22
8,22
10,22
8,19
7,19
10,22
10,22
8,22
7,22
7,20
7,21
8,21
10,22
8,21
9,22
7,19
8,21
8,19
7,22
7,22
10,23
8,21
10,22
8,21
9,22
8,22
7,19
7,19
8,20
8,22
9,22
7,19
10,22
7,20
7,20
7,18
10,21
9,22
7,21
10,21
10,22
10,22
8,22
8,20
10,21
10,22
8,21
7,20
8,21
8,22
8,19
7,20
9,21
7,20
8,21
7,19
7,20
7,20
9,22
9,21
10,22
7,20
9,21
7,20
9,22
8,21
8,20
9,22
7,20
8,20
10,22
11,22
7,20
8,21
10,22
7,20
7,18
8,19
10,22
7,20
7,22
7,20
7,21
8,21
8,20
9,22
9,21
10,22
7,20
8,20
8,19
9,22
9,21
8,21
8,20
7,18
7,20
9,22
8,20
7,20
10,22
7,19
10,21
8,20
7,20
10,21
8,21
8,21
7,19
7,19
9,21
9,21
10,21
7,20
7,20
7,19
7,20
8,21
10,21
6,20
6,19
9,22
7,20
7,19
10,22
9,21
9,22
7,20
6,18
9,22
7,20
8,21
8,21
11,22
6,18
7,19
10,21
8,19
6,19
8,21
8,21
8,22
10,22
10,22
8,20
10,22
8,20
7,20
7,21
7,19
10,21
7,20
7,20
7,21
8,21
7,21
9,22
7,20
10,22
7,19
7,21
11,22
11,23
6,19
8,21
7,21
8,21
7,19
7,19
10,21
8,21
7,19
7,20
7,19
7,19
9,21
6,19
7,20
7,20
10,21
10,22
9,22
10,22
7,21
8,20
8,21
10,22
9,22
7,19
7,20
7,20
8,22
7,20
9,21
7,20
9,22
7,20
9,22
8,20
7,19
7,20
7,20
7,19
8,20
10,22
7,20
8,21
8,22
7,19
10,22
10,22
10,22
7,19
9,22
9,22
7,19
8,20
7,19
7,21
7,20
7,21
7,19
8,22
8,22
7,20
10,21
9,22
10,21
8,21
7,19
10,22
10,22
7,19
10,22
9,21
7,20
10,22
9,22
7,20
8,21
7,21
8,22
10,22
9,22
10,22
8,21
7,19
8,20
8,20
9,22
8,21
7,21
8,21
7,20
11,22
8,21
8,22
7,20
8,22
9,22
7,20
8,20
9,22
8,21
10,22
8,19
8,19
10,22
8,20
10,22
7,20
9,21
8,22
9,22
10,22
7,19
7,20
7,19
9,22
7,20
8,21
10,22
8,22
8,22
10,22
8,21
9,21
7,21
10,22
7,18
8,21
8,21
8,21
8,21
8,21
7,20
8,20
7,22
9,22
10,23
10,21
8,22
8,21
7,21
10,22
8,20
8,21
8,20
11,23
7,20
8,20
8,21
8,21
7,19
7,19
10,22
7,19
7,20
7,20
7,22
9,21
10,22
9,21
7,19
7,20
9,22
10,22
8,21
9,22
8,21
7,20
9,22
9,21
10,22
10,22
10,22
10,22
7,19
10,22
9,22
7,18
6,20
6,19
7,20
8,22
9,22
7,19
7,19
8,20
7,19
10,23
9,22
8,21
9,21
9,22
7,19
8,22
9,21
7,20
8,19
7,21
9,22
8,21
7,19
7,20
9,21
7,21
9,22
7,20
8,21
7,20
10,22
10,22
9,21
9,21
8,20
9,21
7,21
7,19
10,22
7,19
7,20
9,22
9,22
9,21
7,19
10,22
7,20
8,21
10,22
7,20
8,22
8,22
7,19
7,19
10,22
8,22
9,21
8,20
8,20
10,22
7,19
7,19
10,22
10,23
9,22
8,20
7,20
7,21
8,21
9,22
9,21
7,19
9,21
9,22
9,22
8,21
8,20
8,21
8,22
7,20
7,21
8,22
10,22
7,22
7,19
8,21
10,22
9,22
10,22
7,19
7,22
8,21
9,22
9,21
9,22
10,22
9,21
7,22
8,21
9,22
8,22
7,21
10,22
6,19
9,22
10,23
10,22
8,20
8,22
7,21
9,22
9,22
7,19
7,20
8,21
8,21
7,19
7,20
9,22
8,21
7,21
8,21
9,22
8,21
9,21
8,20
8,21
9,22
7,19
9,22
7,20
8,21
9,22
9,22
10,21
9,21
6,18
9,21
10,22
7,19
8,22
8,20
7,19
8,21
9,22
8,21
7,19
7,19
9,22
7,19
8,21
10,22
10,22
7,21
8,21
9,22
6,20
8,21
7,20
8,21
9,22
8,21
9,22
6,20
10,22
9,22
9,21
11,23
7,19
7,19
8,20
8,21
8,22
10,22
10,21
8,22
7,20
10,22
7,18
9,22
9,22
8,21
7,19
8,20
8,21
8,21
8,21
8,21
8,21
8,20
9,22
8,20
8,19
7,22
10,22
8,21
10,22
7,18
7,22
8,20
10,22
7,20
8,21
10,22
7,19
10,22
8,21
8,20
9,22
8,22
7,20
8,20
8,21
10,22
7,19
7,19
7,20
8,22
7,19
7,21
8,20
8,21
8,20
7,18
9,22
8,22
10,22
7,21
8,20
7,22
10,21
9,22
8,22
7,21
7,19
6,19
10,22
7,19
7,19
9,21
8,21
8,22
7,19
7,20
7,21
7,19
10,21
8,22
7,22
10,21
7,19
8,19
8,22
8,21
9,21
7,18
9,22
8,20
7,19
10,23
6,19
7,19
7,19
8,19
8,21
9,22
7,19
7,19
8,19
7,21
8,20
8,20
8,22
8,22
9,21
9,23
11,22
10,22
8,20
9,22
9,22
10,22
8,20
10,22
8,20
9,21
7,19
8,22
8,21
7,19
8,21
6,18
7,19
8,20
8,19
8,20
10,22
7,19
9,22
7,21
7,22
8,21
8,22
7,20
8,21
9,22
8,22
7,21
8,21
7,19
8,21
8,21
8,21
7,19
8,18
8,21
8,21
8,21
7,19
7,19
8,22
8,21
10,22
7,19
7,21
9,21
8,22
7,20
8,20
9,22
10,22
6,20
7,21
8,21
9,21
10,22
7,21
7,19
9,21
7,20
10,22
8,22
11,23
8,21
9,21
7,22
9,22
9,22
6,19
7,19
9,21
10,22
8,21
8,19
7,20
9,22
8,21
10,22
7,20
8,21
9,22
8,21
8,21
7,20
10,22
8,22
7,21
10,22
9,21
9,22
10,22
7,21
9,22
7,21
9,22
9,22
9,21
7,19
7,20
8,22
7,19
10,22
7,20
9,21
8,21
7,20
9,21
10,22
7,20
8,22
10,22
8,21
9,22
8,21
10,22
10,22
7,19
10,22
7,19
9,22
8,21
10,22
7,20
9,21
8,21
9,22
7,20
7,22
10,23
8,21
7,19
10,22
10,22
8,19
7,19
7,21
9,21
7,18
7,21
8,22
7,20
9,22
9,22
7,19
8,21
8,19
9,21
7,19
8,20
9,21
8,21
9,21
9,22
8,20
7,19
9,21
7,20
9,20
10,22
7,20
8,21
7,19
8,20
8,19
8,20
7,21
9,22
8,22
7,20
10,22
8,21
8,21
7,20
10,22
10,22
7,19
7,21
7,20
8,20
7,19
9,22
8,21
8,20
7,21
9,21
11,23
7,20
7,21
8,22
7,20
10,22
9,21
7,19
10,22
7,19
9,21
9,22
10,22
7,21
9,21
7,21
7,19
7,19
7,19
9,22
8,22
10,22
7,22
7,21
10,21
7,21
8,22
9,22
10,23
7,21
9,22
8,21
10,22
7,19
7,20
7,20
11,22
10,22
8,21
9,22
8,21
8,22
9,21
8,20
8,20
7,21
7,20
9,21
8,21
8,20
7,19
7,19
7,20
8,19
7,20
6,18
7,19
7,19
8,21
10,22
9,21
8,21
10,22
7,19
8,22
11,21
8,21
8,21
10,22
11,23
7,21
8,19
8,21
7,21
7,20
8,21
9,22
7,20
10,22
8,21
8,21
7,20
7,21
7,22
8,20
8,20
8,20
10,22
6,19
9,22
7,19
9,21
8,20
8,21
7,20
11,23
9,22
6,19
8,22
10,22
9,22
8,21
8,21
7,19
9,22
7,20
7,19
8,21
7,19
9,22
10,22
8,20
10,22
7,20
8,20
8,21
10,22
8,20
8,20
8,20
10,22
8,21
10,23
8,20
9,22
9,22
9,22
7,20
9,22
8,19
7,21
7,19
7,20
8,22
8,21
10,22
8,22
7,18
8,21
9,22
6,18
10,22
11,22
8,21
8,21
8,21
9,22
8,21
7,21
10,22
9,21
8,21
9,21
9,23
8,22
7,20
7,20
7,19
7,20
7,19
7,19
8,21
6,19
8,20
8,22
9,22
9,22
9,22
7,20
9,22
7,20
7,19
8,22
8,21
9,21
10,22
10,22
8,21
7,21
9,21
7,20
8,22
7,20
8,20
8,21
8,20
7,20
9,22
7,19
8,21
8,22
8,22
8,21
8,21
8,20
10,22
7,21
7,19
8,20
8,21
7,20
10,22
10,22
8,20
7,19
7,20
6,19
9,22
8,20
7,19
8,19
7,21
8,21
8,21
8,22
9,21
7,19
7,20
7,19
9,23
8,22
7,19
8,21
7,19
7,20
9,21
8,21
8,21
7,21
8,21
7,21
8,19
7,20
10,22
7,20
8,20
9,21
8,21
9,22
10,22
7,19
9,21
8,22
8,20
10,22
8,20
9,21
9,21
10,22
8,22
8,20
10,22
7,21
10,21
8,20
7,20
9,22
6,19
8,21
7,21
7,19
7,19
8,19
7,19
7,20
8,20
9,21
7,20
7,21
10,22
10,21
8,21
10,23
8,22
10,22
9,22
8,21
10,22
9,22
7,20
7,19
7,19
7,19
10,22
9,21
11,23
9,21
9,22
8,19
9,22
7,19
8,21
9,22
9,21
7,20
10,22
9,22
8,21
8,21
10,22
7,19
7,20
7,19
8,20
8,22
7,19
8,21
8,20
8,22
7,20
8,21
7,19
7,19
9,22
7,19
10,22
7,20
8,22
7,22
7,19
9,22
10,22
8,21
7,21
9,21
8,20
7,18
7,19
7,21
9,20
7,20
7,20
8,20
6,19
8,20
7,19
8,20
10,22
9,22
7,20
7,22
11,22
9,22
7,19
7,20
7,19
9,22
8,21
10,22
8,21
7,22
8,21
8,20
9,21
8,22
7,22
10,22
8,21
8,21
7,22
7,22
10,22
7,21
8,20
10,21
7,19
8,22
8,21
7,20
7,20
8,20
9,21
9,22
8,20
6,19
8,21
10,22
7,20
10,22
8,21
6,19
10,22
9,22
10,23
7,20
7,22
7,20
7,19
7,20
8,20
9,22
10,23
11,22
10,22
7,20
7,20
7,21
7,19
7,20
7,18
8,22
8,22
7,19
9,22
9,21
8,19
9,22
7,19
9,22
7,20
8,19
10,22
10,22
7,20
8,20
7,21
7,21
9,21
9,22
7,19
7,22
10,21
7,20
8,22
9,23
8,21
10,22
7,22
7,20
9,22
8,21
8,21
7,19
7,20
10,22
8,22
7,19
7,20
10,21
7,19
7,19
8,21
7,21
7,20
7,20
9,22
10,22
10,21
8,21
9,22
8,19
7,19
10,22
10,22
7,20
7,19
7,20
9,22
7,18
10,21
7,20
7,19
10,22
10,22
10,22
8,21
7,20
8,20
7,21
10,21
8,21
7,19
8,19
7,19
8,20
7,19
10,22
10,22
8,22
7,19
7,20
8,21
7,20
8,20
8,19
7,20
7,22
7,19
10,22
11,23
7,21
8,21
10,23
11,21
7,19
7,20
10,22
7,19
9,21
9,22
10,22
10,22
7,19
9,21
6,19
7,19
7,22
7,19
7,20
7,20
7,19
6,19
9,21
9,22
7,20
10,22
6,19
7,20
8,22
10,22
9,22
8,20
9,22
7,19
7,19
10,22
9,22
8,21
11,23
8,21
8,21
8,21
9,22
8,22
9,22
7,20
7,19
10,22
7,19
7,19
10,22
9,21
8,22
9,22
7,20
6,20
7,20
8,20
9,21
6,19
10,22
8,21
8,21
7,18
10,22
9,21
10,22
9,21
8,20
7,19
8,22
8,22
10,22
8,20
8,21
7,22
6,19
10,22
6,18
7,19
10,22
8,21
9,21
8,20
9,22
7,20
7,20
8,21
10,22
10,22
8,21
7,19
8,22
8,21
7,20
8,21
8,22
10,22
8,21
8,20
7,19
9,22
7,20
9,22
8,21
7,18
8,19
8,20
7,19
7,21
8,20
7,22
11,23
7,21
8,20
7,20
8,20
10,22
8,21
9,22
8,21
7,19
10,22
10,22
7,19
8,22
9,21
9,22
10,22
7,19
10,22
10,22
8,21
8,20
6,18
9,22
7,19
7,19
10,23
8,22
7,19
6,18
7,20
8,20
8,21
8,21
9,22
7,19
7,19
7,19
8,20
7,20
7,22
9,22
7,21
7,19
8,21
7,18
8,21
7,21
8,21
8,22
9,21
9,22
10,22
7,22
9,22
10,23
8,21
10,23
7,21
9,22
7,20
11,23
10,22
7,19
10,22
8,20
8,19
7,19
7,19
7,20
7,20
8,22
9,22
10,21
7,20
10,22
9,21
8,22
10,22
7,22
9,21
7,20
8,21
7,20
8,21
10,22
9,22
7,20
7,22
7,20
8,22
9,21
7,19
8,22
8,21
8,21
7,20
8,21
7,20
8,21
9,21
8,21
7,19
8,22
7,19
9,21
9,22
10,23
9,22
7,19
9,22
7,20
7,20
10,23
10,22
9,22
7,19
7,21
8,20
9,21
8,21
7,21
9,22
8,20
10,22
10,22
7,22
10,22
8,20
8,21
9,21
7,21
9,22
9,22
10,22
10,22
8,21
8,21
7,20
7,18
8,21
7,20
8,22
8,21
10,22
8,21
8,22
7,20
8,21
6,18
9,22
7,19
9,22
8,19
9,22
8,20
8,21
10,22
8,21
8,21
8,21
10,22
10,22
10,22
8,21
8,21
8,21
9,22
10,22
7,19
9,22
10,21
9,22
11,22
7,19
7,20
10,23
7,22
7,21
8,21
9,21
10,22
8,22
6,19
10,22
8,20
9,22
10,23
7,19
8,21
8,20
9,22
9,22
9,21
7,22
7,20
10,22
9,21
7,19
8,20
8,21
8,20
8,21
9,22
7,19
7,19
7,19
10,21
10,22
7,20
9,22
7,20
7,19
8,21
9,21
9,22
9,21
10,22
9,22
9,21
8,19
7,19
9,20
7,19
7,20
10,22
8,21
10,22
10,22
10,22
8,21
6,20
7,21
10,22
7,22
7,19
9,22
7,19
8,22
10,22
7,22
7,19
7,20
7,20
7,21
8,21
7,19
8,22
8,21
7,21
7,21
8,19
7,21
10,23
7,20
9,21
8,21
10,23
7,20
11,22
7,22
7,18
7,22
8,20
7,20
7,20
10,22
10,23
6,18
9,22
9,22
6,19
10,22
8,22
9,22
6,19
11,23
7,19
7,21
7,20
11,23
9,22
10,22
8,19
6,18
9,22
9,22
9,22
9,22
8,21
7,19
7,20
7,19
7,19
7,19
8,21
8,21
7,19
8,22
10,22
8,22
7,20
10,22
8,21
7,21
7,20
10,22
8,21
7,20
10,22
11,22
8,21
9,21
6,19
7,19
7,19
10,22
8,21
10,22
7,19
8,21
8,22
7,21
8,21
7,20
8,21
10,22
7,21
7,19
8,21
10,22
10,22
9,21
7,20
10,22
10,22
7,19
10,22
8,20
6,18
9,22
10,22
8,19
10,22
8,20
7,20
9,21
9,21
7,22
7,19
9,21
9,21
7,20
8,21
8,22
9,21
9,21
7,19
7,20
8,21
8,21
10,22
7,21
6,19
10,22
7,19
7,20
8,21
10,22
8,22
8,21
8,21
9,22
7,22
7,19
7,22
8,22
7,19
9,22
8,22
11,22
10,22
9,22
7,20
10,22
7,20
10,22
8,22
7,20
10,22
10,22
9,21
8,21
7,21
7,19
7,19
8,22
8,18
8,21
8,21
9,21
8,21
9,22
9,21
8,20
9,22
9,21
7,20
7,19
7,21
9,21
7,20
8,21
7,22
8,21
10,22
7,20
9,21
8,22
6,18
9,21
8,21
9,22
7,20
10,22
8,22
7,20
8,21
9,22
9,22
9,22
8,21
10,22
10,22
10,22
8,21
9,21
9,22
7,20
7,19
7,22
8,21
8,21
10,22
7,19
8,21
7,22
7,19
7,19
7,20
10,22
6,19
8,21
7,20
8,20
10,22
11,23
7,19
7,21
7,19
7,19
9,21
9,22
7,21
9,21
9,22
10,23
8,21
8,21
8,22
8,21
7,20
8,22
7,21
7,21
6,18
7,19
10,22
8,22
8,22
7,20
7,19
8,20
7,19
7,19
8,21
7,19
7,19
8,21
9,22
8,22
7,20
10,21
9,22
9,21
7,19
7,18
7,19
8,20
10,23
9,22
9,22
7,20
7,19
8,21
9,21
6,19
10,22
7,20
7,20
8,22
11,22
7,21
7,21
8,21
9,21
10,22
8,20
10,22
8,21
6,19
9,22
9,22
8,21
9,22
7,21
7,20
7,20
7,21
6,19
8,21
9,21
7,22
8,21
9,22
7,22
7,21
10,22
7,19
10,22
6,19
8,22
8,21
8,21
7,19
8,20
7,20
8,20
8,22
9,22
8,21
7,21
7,21
7,19
8,21
9,22
9,22
7,20
11,22
9,22
9,21
9,22
7,19
9,22
10,22
7,21
7,20
9,21
11,22
9,22
7,19
8,21
8,22
9,22
8,22
9,22
10,22
8,20
8,19
9,21
7,20
8,22
8,20
7,19
8,20
7,19
8,20
7,19
10,22
9,21
8,22
10,22
7,20
7,20
10,22
7,21
10,22
8,19
7,20
7,19
8,20
7,21
8,21
7,20
8,21
9,22
6,20
7,21
10,21
8,21
8,21
9,21
8,21
8,22
8,20
7,19
8,20
7,22
8,22
7,22
9,22
7,19
7,21
8,21
8,21
8,21
7,20
8,19
8,21
9,21
7,19
9,21
6,19
7,21
9,21
8,21
7,20
8,21
7,20
8,20
9,23
11,23
8,21
9,22
6,19
9,21
8,21
8,21
7,18
7,18
10,22
7,20
9,20
9,22
10,22
8,21
8,21
7,22
8,20
9,21
9,21
10,22
10,22
9,22
8,21
8,22
7,19
10,23
8,21
9,22
8,22
10,23
7,19
8,20
10,22
7,19
7,20
7,19
7,19
10,22
8,22
8,19
7,20
10,21
9,23
10,21
9,22
9,21
8,20
10,22
9,22
9,21
7,19
7,19
8,19
9,22
7,19
8,21
11,22
7,22
7,21
7,19
10,22
7,19
8,20
8,21
7,19
7,21
7,21
8,19
7,20
9,22
7,20
8,20
9,22
8,22
7,18
10,22
7,20
11,22
9,21
10,22
9,22
8,21
7,19
8,21
11,23
8,21
8,21
8,19
10,22
7,20
7,19
7,20
8,20
7,19
8,21
7,20
8,21
9,21
7,19
8,21
8,21
10,22
10,22
8,22
9,21
7,20
8,20
10,22
9,22
8,21
8,20
8,21
7,22
7,21
6,18
9,22
7,19
6,19
7,21
8,21
10,22
10,22
7,20
7,19
9,22
7,19
7,20
9,22
10,22
5,18
8,22
9,21
9,21
10,22
10,22
7,19
7,21
10,23
9,22
7,19
10,23
10,22
7,19
8,20
10,21
8,22
10,22
7,18
8,20
7,20
7,22
9,22
7,20
7,21
9,20
7,20
9,22
7,20
8,20
6,19
8,21
7,20
7,20
8,20
9,22
8,21
7,19
10,22
8,21
8,21
10,22
7,19
7,20
8,22
8,21
10,22
10,22
8,19
8,21
11,22
9,21
8,20
7,19
8,20
7,20
9,21
7,19
6,19
8,19
10,22
10,21
8,21
7,19
7,21
10,22
8,21
10,22
10,22
8,21
7,20
9,21
10,22
8,21
6,19
8,22
8,19
8,21
9,21
7,19
10,21
8,19
9,21
6,18
7,20
9,22
8,22
8,21
10,23
8,21
7,20
10,22
7,22
9,22
8,21
10,23
6,18
8,20
8,21
7,20
7,21
7,20
8,21
7,21
7,20
9,22
8,21
8,20
6,20
7,21
7,20
7,19
7,19
10,21
10,22
10,23
9,21
6,19
9,21
7,20
7,19
10,22
9,22
9,21
9,21
6,19
8,19
8,20
8,21
10,22
8,21
9,22
7,19
9,22
10,23
7,18
8,19
11,22
6,19
9,21
7,19
9,22
7,20
7,19
9,22
7,20
7,19
8,21
7,19
8,21
9,22
7,22
9,21
10,22
7,20
7,19
9,22
8,22
8,21
11,23
9,22
9,22
9,22
10,22
7,19
7,20
7,20
10,22
11,23
7,19
8,20
9,22
8,21
8,22
7,20
8,22
9,21
8,20
10,22
7,21
7,20
7,19
7,19
10,21
7,19
9,21
7,20
7,19
9,21
7,22
9,21
10,22
7,21
10,22
8,21
8,22
7,21
8,21
7,21
7,17
7,19
8,21
10,22
7,19
10,22
9,21
8,22
7,21
8,21
10,22
6,19
8,21
10,22
8,21
7,19
10,22
8,21
9,22
8,20
8,21
7,19
10,22
7,20
8,22
8,21
8,19
7,19
8,20
10,21
9,22
10,22
7,20
9,22
10,22
8,21
8,21
9,22
8,22
6,18
6,19
7,20
10,22
7,20
10,22
7,20
7,20
7,19
7,21
8,20
10,22
7,20
10,22
6,19
7,19
8,21
7,21
7,21
8,19
10,22
7,19
7,19
9,22
7,22
7,20
9,21
7,20
8,20
9,22
8,21
9,22
7,19
8,20
7,19
7,20
9,21
11,23
9,22
6,19
7,19
9,22
7,20
7,20
7,20
10,22
8,21
10,22
8,22
10,22
8,21
7,19
9,22
8,22
7,19
8,22
8,20
7,21
8,21
9,22
9,22
7,20
9,22
8,22
7,19
8,22
8,22
7,19
7,21
8,22
7,19
7,20
7,20
9,21
9,22
9,22
10,22
9,22
7,20
10,22
7,19
7,21
8,20
10,22
9,22
7,20
9,21
7,22
8,20
10,22
8,21
9,22
7,18
10,22
10,22
10,23
7,20
10,22
7,20
9,22
8,20
8,22
8,21
7,21
10,22
9,22
10,22
10,22
9,21
11,23
8,20
7,19
11,22
9,22
7,20
7,19
7,19
7,19
10,22
10,21
8,20
10,22
10,22
9,22
8,21
8,19
10,22
9,21
7,20
10,22
8,20
8,22
8,19
8,21
10,22
10,23
7,20
9,21
10,22
7,19
8,22
10,22
9,21
8,21
9,23
8,21
7,19
11,23
10,21
8,21
8,20
8,22
6,19
6,20
6,19
8,21
8,22
10,22
7,20
7,20
8,22
8,22
6,19
8,22
8,20
8,20
10,23
7,19
10,22
10,22
7,21
7,20
7,19
8,20
7,19
10,22
8,20
10,22
10,22
8,21
9,23
7,21
7,19
7,21
8,20
7,19
9,21
8,22
7,19
7,19
9,22
9,22
7,20
10,22
7,20
9,22
7,21
8,21
9,21
10,22
9,22
8,21
7,19
9,22
9,21
9,21
10,22
10,22
7,20
8,21
6,18
9,22
7,20
10,22
7,19
10,22
8,21
8,20
7,20
7,21
9,21
8,20
7,18
7,21
7,20
7,19
10,21
9,20
10,22
7,20
10,22
8,21
8,20
6,18
9,22
8,21
10,22
7,20
9,22
8,21
7,20
10,22
8,22
7,20
8,21
6,19
7,20
8,21
7,19
10,22
8,21
7,20
7,19
8,21
10,22
7,20
8,21
7,20
10,22
7,21
7,20
9,22
7,19
8,21
8,20
7,19
7,20
8,22
9,22
7,20
7,21
11,23
9,22
8,21
9,22
10,22
9,22
8,21
7,20
7,20
7,20
7,20
8,21
10,22
10,22
6,19
7,21
19,7
10,22
7,21
7,20
10,22
7,21
8,21
7,21
9,22
9,21
7,19
8,21
7,20
8,21
9,22
9,22
8,22
8,21
7,22
8,22
7,19
9,21
9,21
9,22
7,20
7,20
10,22
8,22
8,22
7,21
9,22
8,20
9,21
11,23
7,20
8,22
6,19
9,21
11,22
10,23
9,22
8,18
9,21
8,21
7,20
8,22
11,22
8,21
7,19
7,20
7,22
8,20
8,21
10,22
10,22
8,22
9,21
7,20
8,20
9,21
10,23
7,19
7,22
8,19
8,22
7,20
7,21
8,21
9,21
6,18
8,21
8,22
10,23
9,21
8,22
8,21
7,21
10,22
8,21
8,19
7,22
7,20
7,19
9,22
10,21
10,22
10,22
7,19
9,22
10,22
8,21
10,22
8,21
10,24
9,23
8,21
8,22
7,20
8,21
10,21
9,21
7,22
8,21
8,20
8,20
7,19
7,21
8,21
8,18
8,20
9,21
10,22
9,22
10,22
6,19
8,22
8,21
7,21
6,19
10,22
8,20
9,21
7,19
9,21
8,21
10,23
8,22
7,20
10,22
9,22
7,19
7,21
9,21
7,21
11,23
8,21
10,22
9,22
8,21
10,22
7,19
10,22
10,22
7,19
9,21
10,22
9,21
8,21
7,22
7,19
8,21
7,20
7,21
10,22
9,22
8,21
8,21
9,22
8,20
8,21
8,21
10,22
11,23
8,20
8,21
9,22
7,21
7,20
8,20
7,21
9,22
8,20
8,19
6,19
9,22
8,20
9,22
9,22
8,21
7,19
8,20
8,21
10,23
7,21
9,21
9,21
8,21
8,21
10,21
9,20
7,19
8,22
8,22
9,22
9,21
11,22
9,22
9,22
8,20
6,19
7,19
7,19
9,22
8,20
7,19
10,22
8,22
9,22
7,19
8,21
8,20
10,22
7,19
9,21
7,22
10,22
9,22
8,21
7,20
8,20
9,22
8,22
8,21
8,19
8,22
8,20
9,21
9,21
7,19
9,21
9,22
10,22
7,20
10,22
8,20
8,21
7,22
6,19
9,22
10,22
9,21
10,23
8,22
9,21
8,20
7,20
8,21
7,19
10,22
7,22
6,18
7,22
7,19
8,21
8,20
7,20
8,22
8,21
7,20
8,22
10,22
8,22
7,19
8,20
10,23
10,21
10,22
10,22
8,20
9,22
8,22
8,21
7,19
7,20
7,19
7,21
7,22
9,22
7,19
9,22
7,19
7,20
7,19
9,23
6,18
10,22
8,21
7,19
9,22
10,22
9,22
10,22
9,21
7,20
7,19
9,23
7,19
7,19
8,21
9,21
8,22
6,19
9,22
7,21
7,19
9,22
7,20
7,21
10,22
10,23
7,19
7,22
7,20
7,20
9,20
8,22
9,22
9,20
7,19
7,19
9,22
10,22
10,22
8,22
7,20
8,22
7,19
7,19
7,19
8,21
8,21
8,21
9,22
11,23
7,18
7,19
7,19
8,22
9,22
8,22
10,22
8,20
9,21
8,21
7,19
10,22
7,19
10,22
11,22
7,21
7,19
10,22
8,19
8,22
9,22
8,20
6,19
9,22
7,21
10,22
8,19
7,20
